MATNR,MAKTX,MATKL,PROGRAM,CRITICALITY,STD_LEAD_TIME_DAYS,STD_UNIT_COST_USD,UOM
NSN-2037-374320,RAD-hard FPGA board,Avionics,EGS-Ground,Routine,56,542842.59,EA
NSN-9504-648513,Connector backshell,EEE,Moon-Base,Routine,49,361470.57,SET
NSN-1894-112210,Titanium thrust bracket,Structures,Moon-Base,Essential,174,187301.88,SET
NSN-4946-446968,Connector backshell,EEE,Gateway,Routine,21,302484.6,EA
NSN-8521-565765,Combustion chamber liner,Propulsion,Artemis-3,Routine,38,89069.8,SET
NSN-2681-523037,Flight computer module,Avionics,EGS-Ground,Essential,45,2407933.65,EA
NSN-8474-457411,MLI blanket set,Thermal,EGS-Ground,Essential,102,1918575.89,LOT
NSN-6952-850689,Cryo transfer line,GSE,Artemis-3,Essential,101,2074735.23,EA
NSN-2741-148001,Connector backshell,EEE,Gateway,Routine,59,80261.32,LOT
NSN-4072-226611,Ablative TPS tile,Thermal,Artemis-3,Routine,36,80864.46,SET
NSN-3018-909652,Inertial measurement unit,Avionics,SR1-Freedom,Routine,15,397794.39,EA
NSN-8912-633025,Flight software license,Software,SR1-Freedom,Routine,53,290581.75,LOT
NSN-9259-503348,Rad-hard memory array,EEE,Artemis-3,Essential,115,1132196.34,EA
NSN-7762-731792,Al-Li dome gore,Structures,EGS-Ground,Routine,60,645536.93,LOT
NSN-4291-319899,Ablative TPS tile,Thermal,Moon-Base,Essential,133,1259808.01,EA
NSN-6771-689593,Cryo valve assembly,Propulsion,EGS-Ground,Essential,151,714927.06,SET
NSN-9564-211642,Flight computer module,Avionics,Moon-Base,Critical,194,2002666.88,EA
NSN-5105-253541,Power distribution unit,Power,SR1-Freedom,Routine,55,269040.69,SET
NSN-4675-878476,Cryo valve assembly,Propulsion,Artemis-3,Essential,105,1732386.25,EA
NSN-7349-536801,Telemetry decoder,Software,Artemis-3,Routine,7,152351.28,SET
NSN-7025-891787,MLI blanket set,Thermal,Moon-Base,Essential,94,2458635.79,EA
NSN-3847-870786,Titanium thrust bracket,Structures,EGS-Ground,Essential,55,660709.35,EA
NSN-1092-446620,Solar array wing,Power,EGS-Ground,Essential,55,127280.97,LOT
NSN-9037-928278,Power distribution unit,Power,Artemis-3,Essential,63,1313558.86,EA
NSN-9276-267112,Combustion chamber liner,Propulsion,Moon-Base,Essential,148,2208509.34,EA
NSN-6911-407835,Connector backshell,EEE,SR1-Freedom,Critical,391,860813.01,EA
NSN-4937-773462,Cryo transfer line,GSE,Gateway,Essential,55,2289843.69,EA
NSN-5203-666479,Ground command toolkit,Software,EGS-Ground,Routine,59,602121.43,SET
NSN-1718-410833,Mobile launcher umbilical,GSE,SR1-Freedom,Routine,39,125583.57,LOT
NSN-2072-321020,Flight computer module,Avionics,Moon-Base,Routine,60,403336.46,SET
NSN-3519-124906,Turbopump impeller,Propulsion,SR1-Freedom,Essential,54,445103.71,EA
NSN-4729-371212,Combustion chamber liner,Propulsion,SR1-Freedom,Essential,148,973846.24,EA
NSN-2036-892682,RAD-hard FPGA board,Avionics,SR1-Freedom,Routine,29,217409.41,EA
NSN-5612-902448,Cryo valve assembly,Propulsion,SR1-Freedom,Routine,59,355514.43,LOT
NSN-3234-883028,Ablative TPS tile,Thermal,Artemis-3,Essential,120,1693271.02,EA
NSN-3316-229221,RAD-hard FPGA board,Avionics,SR1-Freedom,Critical,413,2285496.53,EA
NSN-7760-777308,Ablative TPS tile,Thermal,EGS-Ground,Routine,18,626068.71,EA
NSN-3971-803571,Cryo valve assembly,Propulsion,SR1-Freedom,Routine,48,218021.42,EA
NSN-2608-307007,Li-ion battery module,Power,Moon-Base,Routine,29,75074.29,LOT
NSN-4170-433222,Cryo valve assembly,Propulsion,Moon-Base,Essential,123,1413945.19,EA
NSN-8017-276831,Connector backshell,EEE,Gateway,Critical,246,2075424.26,EA
NSN-6432-603268,Al-Li dome gore,Structures,SR1-Freedom,Essential,123,439549.04,LOT
NSN-5597-966589,Cryo valve assembly,Propulsion,SR1-Freedom,Critical,395,5455812.91,EA
NSN-7637-906564,RAD-hard FPGA board,Avionics,Gateway,Essential,111,1634822.26,EA
NSN-7430-334153,Connector backshell,EEE,EGS-Ground,Routine,36,67956.44,EA
NSN-4913-989173,Inertial measurement unit,Avionics,Moon-Base,Routine,15,134395.83,LOT
NSN-8921-476224,Titanium thrust bracket,Structures,Artemis-3,Critical,369,1755484.71,EA
NSN-7358-592489,Rad-hard memory array,EEE,SR1-Freedom,Routine,48,527815.52,LOT
NSN-5314-706739,Solar array wing,Power,Artemis-3,Essential,141,1469258.91,EA
NSN-7165-333726,Solar array wing,Power,EGS-Ground,Essential,133,16643.23,EA
NSN-3713-341162,Mobile launcher umbilical,GSE,Moon-Base,Critical,263,2716959.08,EA
NSN-7793-950576,MLI blanket set,Thermal,Gateway,Essential,168,526878.27,EA
NSN-1367-355506,Telemetry decoder,Software,EGS-Ground,Critical,413,294363.85,LOT
NSN-1916-274421,Al-Li dome gore,Structures,EGS-Ground,Essential,177,1594111.12,EA
NSN-4548-571023,Turbopump impeller,Propulsion,Gateway,Essential,168,1502156.66,LOT
NSN-9369-377370,Al-Li dome gore,Structures,SR1-Freedom,Critical,295,1723949.99,SET
NSN-2778-117367,Composite interstage panel,Structures,EGS-Ground,Critical,378,722645.99,SET
NSN-9706-627778,Flight computer module,Avionics,EGS-Ground,Routine,49,404485.22,EA
NSN-9553-541119,Flight software license,Software,Gateway,Essential,180,1973920.53,SET
NSN-2600-546157,Rad-hard memory array,EEE,EGS-Ground,Critical,364,6575802.8,SET
NSN-4096-105735,Power distribution unit,Power,SR1-Freedom,Routine,14,281300.53,EA
NSN-7698-479867,Connector backshell,EEE,Gateway,Critical,338,4235222.68,LOT
NSN-7511-891645,Solar array wing,Power,EGS-Ground,Critical,402,4162035.46,EA
NSN-6641-911801,Li-ion battery module,Power,Gateway,Routine,54,587341.71,EA
NSN-4513-633036,Combustion chamber liner,Propulsion,SR1-Freedom,Essential,58,2010952.75,EA
NSN-8133-192422,Pad water deluge nozzle,GSE,SR1-Freedom,Critical,233,5433834.33,SET
NSN-1941-911187,Li-ion battery module,Power,EGS-Ground,Routine,7,214537.01,EA
NSN-3776-806765,Ablative TPS tile,Thermal,Artemis-3,Critical,242,5847645.74,EA
NSN-7642-714549,Telemetry decoder,Software,Artemis-3,Critical,127,5446163.56,LOT
NSN-6693-955129,Connector backshell,EEE,SR1-Freedom,Essential,161,652879.6,SET
NSN-2185-627611,Cryo valve assembly,Propulsion,EGS-Ground,Essential,176,625466.21,SET
NSN-8923-907369,Ground command toolkit,Software,EGS-Ground,Critical,293,6465236.68,SET
NSN-5224-170835,Combustion chamber liner,Propulsion,Gateway,Essential,103,2388620.9,LOT
NSN-5314-360316,RAD-hard FPGA board,Avionics,Moon-Base,Essential,132,1191467.15,EA
NSN-5408-291663,Ablative TPS tile,Thermal,Moon-Base,Routine,54,551583.7,EA
NSN-4755-312616,Ablative TPS tile,Thermal,SR1-Freedom,Routine,56,690144.69,SET
NSN-9871-144316,RAD-hard FPGA board,Avionics,Artemis-3,Routine,38,368126.93,LOT
NSN-7518-332881,Solar array wing,Power,Gateway,Routine,40,704743.53,EA
NSN-7450-819678,Connector backshell,EEE,Gateway,Routine,51,236769.24,EA
NSN-4452-497859,Inertial measurement unit,Avionics,Moon-Base,Essential,137,1371476.22,EA
NSN-8722-742865,Li-ion battery module,Power,Gateway,Essential,172,1751826.46,EA
NSN-7563-393212,Connector backshell,EEE,Moon-Base,Essential,78,2035504.53,EA
NSN-8081-997904,Ablative TPS tile,Thermal,Moon-Base,Essential,83,1053888.44,EA
NSN-8972-414608,Space-grade DC-DC converter,EEE,Moon-Base,Essential,57,150231.94,EA
NSN-2577-571706,Pad water deluge nozzle,GSE,EGS-Ground,Routine,30,698886.5,EA
NSN-1324-531762,Rad-hard memory array,EEE,Artemis-3,Critical,221,2438480.86,LOT
NSN-8322-182216,Mobile launcher umbilical,GSE,Moon-Base,Essential,163,1601505.54,EA
NSN-7631-990136,Flight software license,Software,Artemis-3,Routine,28,237689.42,EA
NSN-7479-384424,Solar array wing,Power,Moon-Base,Routine,35,137951.37,EA
NSN-4844-794180,Titanium thrust bracket,Structures,SR1-Freedom,Essential,98,239019.96,SET
NSN-1431-908382,RAD-hard FPGA board,Avionics,Moon-Base,Essential,71,210915.52,SET
NSN-4757-359414,Power distribution unit,Power,Moon-Base,Routine,15,21472.18,EA
NSN-8801-589887,Rad-hard memory array,EEE,Moon-Base,Routine,42,727158.07,LOT
NSN-8480-761701,Al-Li dome gore,Structures,EGS-Ground,Routine,40,232277.06,EA
NSN-9841-338161,Cryo transfer line,GSE,Artemis-3,Routine,30,116826.15,EA
NSN-9574-954987,Inertial measurement unit,Avionics,EGS-Ground,Routine,25,6282.46,SET
NSN-5908-109576,Mobile launcher umbilical,GSE,EGS-Ground,Routine,57,280261.09,SET
NSN-7467-362035,Ground command toolkit,Software,SR1-Freedom,Critical,319,3167055.36,EA
NSN-5664-779956,Li-ion battery module,Power,Moon-Base,Routine,19,102506.88,EA
NSN-8418-385353,Mobile launcher umbilical,GSE,Moon-Base,Routine,27,37266.82,LOT
NSN-4046-207241,Flight computer module,Avionics,Moon-Base,Essential,157,225628.93,EA
NSN-4558-458521,Pad water deluge nozzle,GSE,SR1-Freedom,Essential,140,825722.08,EA
NSN-5366-913331,Flight computer module,Avionics,Artemis-3,Essential,165,2043154.22,EA
NSN-5078-503489,Turbopump impeller,Propulsion,Moon-Base,Routine,54,345650.24,EA
NSN-8746-508024,Heat-pipe radiator panel,Thermal,SR1-Freedom,Routine,17,558554.92,LOT
NSN-5150-604605,Cryo valve assembly,Propulsion,Moon-Base,Essential,137,2433189.16,EA
NSN-6316-115799,Flight software license,Software,SR1-Freedom,Critical,261,7266276.0,LOT
NSN-3539-489439,Mobile launcher umbilical,GSE,EGS-Ground,Routine,38,253846.34,EA
NSN-6824-775885,Inertial measurement unit,Avionics,Moon-Base,Critical,394,2375854.16,LOT
NSN-8187-868804,Space-grade DC-DC converter,EEE,Artemis-3,Critical,313,6740018.43,SET
NSN-5828-669097,Cryo transfer line,GSE,Artemis-3,Routine,41,549313.85,EA
NSN-2128-656937,Titanium thrust bracket,Structures,Gateway,Critical,271,5848.39,LOT
NSN-4039-119629,Telemetry decoder,Software,SR1-Freedom,Essential,106,1645774.8,LOT
NSN-4110-649526,Ground command toolkit,Software,Artemis-3,Routine,46,307379.95,EA
NSN-2577-648615,Turbopump impeller,Propulsion,Moon-Base,Routine,18,80331.56,EA
NSN-1521-698749,Cryo valve assembly,Propulsion,EGS-Ground,Essential,170,639957.94,EA
NSN-2161-113721,Ablative TPS tile,Thermal,Gateway,Routine,60,600773.92,EA
NSN-7814-961957,Space-grade DC-DC converter,EEE,SR1-Freedom,Essential,113,2086166.08,EA
NSN-9511-201836,Ablative TPS tile,Thermal,EGS-Ground,Critical,238,4926728.26,LOT
NSN-7802-882351,Titanium thrust bracket,Structures,Gateway,Critical,415,6621232.87,EA
NSN-7579-629208,Titanium thrust bracket,Structures,EGS-Ground,Essential,158,2478658.76,EA
NSN-7755-901305,Connector backshell,EEE,Moon-Base,Essential,106,937751.43,LOT
NSN-6898-574379,Li-ion battery module,Power,Artemis-3,Essential,45,1489467.7,LOT
NSN-5945-106887,Composite interstage panel,Structures,Artemis-3,Essential,99,2297792.34,LOT
NSN-2544-139569,Titanium thrust bracket,Structures,EGS-Ground,Essential,80,624754.79,EA
NSN-2505-698199,Solar array wing,Power,Gateway,Essential,64,432380.29,LOT
NSN-5921-139186,Turbopump impeller,Propulsion,Artemis-3,Routine,12,260977.0,SET
NSN-2974-907812,Ground command toolkit,Software,EGS-Ground,Critical,125,309298.36,LOT
NSN-6354-626806,Al-Li dome gore,Structures,Gateway,Routine,50,728281.49,LOT
NSN-4638-552917,Combustion chamber liner,Propulsion,SR1-Freedom,Essential,82,1189715.26,EA
NSN-5301-189211,Flight software license,Software,Gateway,Essential,78,1398306.55,SET
NSN-4212-688426,Flight software license,Software,Artemis-3,Essential,108,1941963.23,EA
NSN-2843-804378,Combustion chamber liner,Propulsion,Artemis-3,Essential,134,1484753.79,EA
NSN-3773-466704,Li-ion battery module,Power,Moon-Base,Essential,82,499333.08,EA
NSN-2405-217830,Titanium thrust bracket,Structures,SR1-Freedom,Routine,60,257483.08,EA
NSN-8373-594078,Power distribution unit,Power,EGS-Ground,Critical,227,5627775.96,LOT
NSN-3315-828834,Pad water deluge nozzle,GSE,EGS-Ground,Routine,44,32654.55,EA
NSN-5653-310445,RAD-hard FPGA board,Avionics,SR1-Freedom,Routine,36,49990.35,EA
NSN-2767-120005,Connector backshell,EEE,SR1-Freedom,Essential,104,2259694.57,SET
NSN-4054-308535,Turbopump impeller,Propulsion,EGS-Ground,Essential,50,762423.07,SET
NSN-3572-119264,Ground command toolkit,Software,Moon-Base,Essential,135,2489986.63,LOT
NSN-2015-756190,Solar array wing,Power,Moon-Base,Essential,52,379397.7,SET
NSN-2438-865344,Al-Li dome gore,Structures,Moon-Base,Essential,151,1066248.52,EA
NSN-8359-668573,Rad-hard memory array,EEE,EGS-Ground,Critical,190,6821761.06,SET
NSN-3589-432918,Titanium thrust bracket,Structures,Moon-Base,Critical,392,5453219.31,EA
NSN-7737-418083,Flight software license,Software,SR1-Freedom,Essential,83,328994.97,EA
NSN-4783-725329,Power distribution unit,Power,Gateway,Critical,133,1006039.37,LOT
NSN-7126-292913,Mobile launcher umbilical,GSE,Moon-Base,Routine,15,169739.61,SET
NSN-5421-533108,Flight computer module,Avionics,Gateway,Critical,223,6503527.31,SET
NSN-8496-358771,Rad-hard memory array,EEE,Gateway,Essential,142,1528820.46,LOT
NSN-9530-214626,RAD-hard FPGA board,Avionics,Gateway,Essential,107,2459579.03,EA
NSN-9456-902328,Ground command toolkit,Software,Gateway,Essential,93,2211011.28,EA
NSN-3727-542983,Cryo transfer line,GSE,Gateway,Essential,177,226238.45,LOT
NSN-3945-916558,Combustion chamber liner,Propulsion,Artemis-3,Essential,79,1127297.0,EA
NSN-4308-576769,Pad water deluge nozzle,GSE,SR1-Freedom,Critical,285,684343.27,SET
NSN-2397-649262,Connector backshell,EEE,Gateway,Routine,31,32972.59,EA
NSN-3459-269999,Rad-hard memory array,EEE,Artemis-3,Routine,33,547633.45,SET
NSN-3960-223264,Solar array wing,Power,SR1-Freedom,Routine,46,344006.35,SET
NSN-9084-349433,Inertial measurement unit,Avionics,SR1-Freedom,Critical,363,4509303.7,EA
NSN-9967-391622,Ablative TPS tile,Thermal,Moon-Base,Essential,98,137801.59,EA
NSN-3381-995304,Flight computer module,Avionics,SR1-Freedom,Critical,415,817058.34,EA
NSN-5659-740774,Al-Li dome gore,Structures,EGS-Ground,Routine,36,270170.28,EA
NSN-5903-438503,Combustion chamber liner,Propulsion,EGS-Ground,Essential,62,162454.93,SET
NSN-2999-828361,Al-Li dome gore,Structures,Moon-Base,Routine,33,521885.81,LOT
NSN-2790-699121,RAD-hard FPGA board,Avionics,EGS-Ground,Routine,37,700421.73,EA
NSN-6185-372273,Telemetry decoder,Software,Gateway,Essential,78,1299336.54,SET
NSN-3947-739008,Mobile launcher umbilical,GSE,SR1-Freedom,Critical,268,3486883.06,EA
NSN-7793-534153,Heat-pipe radiator panel,Thermal,Moon-Base,Critical,299,5175267.45,EA
NSN-6042-414870,Cryo valve assembly,Propulsion,Artemis-3,Essential,46,853502.76,LOT
NSN-3877-303440,Flight computer module,Avionics,Moon-Base,Essential,167,1203816.58,SET
NSN-8577-922072,Connector backshell,EEE,Artemis-3,Routine,26,416402.92,EA
NSN-6434-938373,MLI blanket set,Thermal,SR1-Freedom,Routine,16,254394.05,SET
NSN-7382-296481,Composite interstage panel,Structures,Artemis-3,Essential,125,1034761.84,SET
NSN-7088-573858,MLI blanket set,Thermal,Moon-Base,Routine,40,84213.4,EA
NSN-2517-565330,Ablative TPS tile,Thermal,Artemis-3,Essential,173,2309103.37,LOT
NSN-6363-250255,Li-ion battery module,Power,Moon-Base,Routine,50,543440.37,SET
NSN-9558-221462,Ground command toolkit,Software,SR1-Freedom,Critical,142,773674.82,EA
NSN-6114-769883,Inertial measurement unit,Avionics,Artemis-3,Routine,19,399227.9,SET
NSN-5467-256574,Cryo valve assembly,Propulsion,EGS-Ground,Critical,178,768218.63,LOT
NSN-6218-384218,Space-grade DC-DC converter,EEE,Artemis-3,Critical,265,4599645.66,EA
NSN-1831-236392,Mobile launcher umbilical,GSE,SR1-Freedom,Critical,145,3198751.18,EA
NSN-6826-427617,Cryo transfer line,GSE,EGS-Ground,Essential,65,329618.43,SET
NSN-8464-425469,Turbopump impeller,Propulsion,Moon-Base,Routine,21,645828.46,LOT
NSN-6954-511122,Solar array wing,Power,SR1-Freedom,Critical,289,490659.58,EA
NSN-8842-583646,Connector backshell,EEE,Moon-Base,Routine,45,380984.39,SET
NSN-6339-683165,Cryo valve assembly,Propulsion,Gateway,Essential,163,596552.44,EA
NSN-8903-502460,Titanium thrust bracket,Structures,EGS-Ground,Critical,226,5905046.48,LOT
NSN-3835-794799,Heat-pipe radiator panel,Thermal,EGS-Ground,Routine,14,347205.49,LOT
NSN-8294-284731,Turbopump impeller,Propulsion,EGS-Ground,Essential,62,1928392.75,SET
NSN-9098-776320,Space-grade DC-DC converter,EEE,EGS-Ground,Routine,59,677446.36,EA
NSN-3444-574978,Composite interstage panel,Structures,Artemis-3,Essential,159,749443.38,EA
NSN-6640-193624,Ground command toolkit,Software,SR1-Freedom,Essential,148,923151.85,LOT
NSN-1013-837520,Flight computer module,Avionics,Moon-Base,Essential,73,1079374.0,LOT
NSN-6212-846348,Flight software license,Software,Moon-Base,Essential,156,1187257.3,EA
NSN-6902-980764,Flight software license,Software,SR1-Freedom,Essential,77,1621025.85,EA
NSN-8155-242371,Pad water deluge nozzle,GSE,EGS-Ground,Critical,332,6977363.95,LOT
NSN-8444-634160,Composite interstage panel,Structures,Moon-Base,Essential,143,1062015.93,EA
NSN-4878-846722,Mobile launcher umbilical,GSE,EGS-Ground,Essential,138,1208247.84,EA
NSN-8889-824038,Cryo valve assembly,Propulsion,SR1-Freedom,Critical,389,3925390.45,LOT
NSN-5017-595401,Turbopump impeller,Propulsion,Artemis-3,Essential,124,1337652.9,EA
NSN-8438-637566,Cryo transfer line,GSE,Artemis-3,Routine,33,216938.32,EA
NSN-5267-164401,Li-ion battery module,Power,Artemis-3,Essential,88,2022268.11,LOT
NSN-5699-608307,Inertial measurement unit,Avionics,Artemis-3,Critical,378,994431.08,EA
NSN-5209-114892,Solar array wing,Power,Artemis-3,Routine,49,605889.17,EA
NSN-8944-289592,Ablative TPS tile,Thermal,EGS-Ground,Routine,12,700459.36,EA
NSN-7765-907789,Pad water deluge nozzle,GSE,Artemis-3,Essential,87,135956.32,EA
NSN-1860-275741,Cryo valve assembly,Propulsion,EGS-Ground,Essential,122,584268.23,SET
NSN-5302-252200,Cryo transfer line,GSE,Gateway,Essential,48,1696281.74,LOT
NSN-2595-657101,Inertial measurement unit,Avionics,Artemis-3,Essential,114,2005820.55,EA
NSN-8554-910707,Ground command toolkit,Software,Moon-Base,Routine,40,234983.27,EA
NSN-2113-112542,Inertial measurement unit,Avionics,Artemis-3,Essential,71,548657.9,EA
NSN-4163-135695,Power distribution unit,Power,Moon-Base,Critical,167,7128689.47,EA
NSN-2415-998043,Cryo valve assembly,Propulsion,Moon-Base,Essential,92,633451.35,SET
NSN-8429-389809,Turbopump impeller,Propulsion,Artemis-3,Routine,17,582839.49,SET
NSN-6450-162976,Flight software license,Software,Gateway,Essential,90,2448558.04,EA
NSN-3923-776838,Telemetry decoder,Software,SR1-Freedom,Essential,155,2281536.17,EA
NSN-1571-176461,Combustion chamber liner,Propulsion,Moon-Base,Critical,248,4896646.21,EA
NSN-7397-379378,Flight computer module,Avionics,EGS-Ground,Critical,288,5307173.97,SET
NSN-8144-523533,Cryo transfer line,GSE,Gateway,Routine,7,90942.28,LOT
NSN-6463-814956,Connector backshell,EEE,Artemis-3,Essential,68,201279.89,SET
NSN-4327-285197,Power distribution unit,Power,Gateway,Essential,93,2241167.28,EA
NSN-2390-763529,Mobile launcher umbilical,GSE,SR1-Freedom,Essential,80,1799389.63,LOT
NSN-9015-507652,Heat-pipe radiator panel,Thermal,Gateway,Critical,396,7249321.09,EA
NSN-6558-158777,Flight computer module,Avionics,EGS-Ground,Essential,148,1146007.16,LOT
NSN-4817-175532,Composite interstage panel,Structures,Gateway,Critical,192,6803883.36,LOT
NSN-4976-835363,Flight computer module,Avionics,Artemis-3,Essential,89,2051874.95,EA
NSN-3796-975930,Pad water deluge nozzle,GSE,EGS-Ground,Essential,74,551548.22,EA
NSN-6527-950941,Telemetry decoder,Software,EGS-Ground,Routine,14,409434.03,EA
NSN-1746-721894,Ablative TPS tile,Thermal,Gateway,Critical,152,1260755.78,EA
NSN-8187-355479,Al-Li dome gore,Structures,EGS-Ground,Routine,13,282126.37,EA
NSN-8978-184643,RAD-hard FPGA board,Avionics,EGS-Ground,Critical,211,6651914.45,SET
NSN-3079-316174,Cryo transfer line,GSE,Moon-Base,Critical,258,7035699.94,LOT
NSN-3949-852037,Inertial measurement unit,Avionics,SR1-Freedom,Essential,122,1394342.35,EA
NSN-9686-200331,Combustion chamber liner,Propulsion,Moon-Base,Essential,174,691175.0,EA
NSN-3444-818530,Turbopump impeller,Propulsion,SR1-Freedom,Routine,18,40563.28,EA
NSN-4433-555786,Power distribution unit,Power,SR1-Freedom,Essential,56,2312164.64,EA
NSN-1476-608623,Titanium thrust bracket,Structures,EGS-Ground,Essential,105,1449467.48,SET
NSN-6336-341238,Ablative TPS tile,Thermal,Gateway,Routine,13,652420.58,SET
NSN-2204-593869,Ablative TPS tile,Thermal,EGS-Ground,Essential,156,1137558.93,SET
NSN-3234-579975,Rad-hard memory array,EEE,Moon-Base,Routine,19,24114.5,LOT
NSN-5597-243132,Flight computer module,Avionics,Artemis-3,Critical,358,1649252.8,EA
NSN-3784-706204,Al-Li dome gore,Structures,Gateway,Routine,33,646655.49,EA
NSN-8581-392731,Cryo transfer line,GSE,Gateway,Critical,339,4346191.97,LOT
NSN-1083-538065,Al-Li dome gore,Structures,SR1-Freedom,Routine,53,319299.08,SET
NSN-2605-574419,Pad water deluge nozzle,GSE,Gateway,Essential,48,2374842.25,EA
NSN-5846-350675,Connector backshell,EEE,Artemis-3,Essential,49,404632.81,SET
NSN-8452-586288,Inertial measurement unit,Avionics,Gateway,Routine,57,527939.87,EA
NSN-7305-824304,Combustion chamber liner,Propulsion,EGS-Ground,Essential,120,1356156.4,EA
NSN-6500-871501,Turbopump impeller,Propulsion,Gateway,Routine,10,274221.69,LOT
NSN-6989-484232,RAD-hard FPGA board,Avionics,Moon-Base,Critical,406,1038431.27,EA
NSN-9841-219073,Heat-pipe radiator panel,Thermal,Moon-Base,Essential,98,801261.47,EA
NSN-5540-157105,Telemetry decoder,Software,EGS-Ground,Critical,296,6221775.4,SET
NSN-8405-751114,Li-ion battery module,Power,SR1-Freedom,Essential,93,976797.65,EA
NSN-2260-214677,Li-ion battery module,Power,Moon-Base,Critical,177,3905372.99,EA
NSN-7824-815551,Solar array wing,Power,Gateway,Essential,166,1844312.45,EA
NSN-4097-166007,Solar array wing,Power,Gateway,Critical,238,4340474.12,EA
NSN-9686-982804,Mobile launcher umbilical,GSE,Artemis-3,Essential,122,429467.05,EA
NSN-8933-489967,MLI blanket set,Thermal,Gateway,Routine,29,717162.36,LOT
NSN-9770-399102,Composite interstage panel,Structures,SR1-Freedom,Critical,209,309067.41,EA
NSN-8223-373056,Titanium thrust bracket,Structures,Artemis-3,Essential,53,369988.35,SET
NSN-9743-416208,Composite interstage panel,Structures,Gateway,Critical,132,6958617.16,EA
NSN-9948-632056,RAD-hard FPGA board,Avionics,Moon-Base,Essential,166,1998970.5,SET
NSN-2840-867180,Connector backshell,EEE,SR1-Freedom,Essential,80,770309.29,SET
NSN-8306-474754,Heat-pipe radiator panel,Thermal,Moon-Base,Critical,148,5859723.59,EA
NSN-1369-187649,MLI blanket set,Thermal,Moon-Base,Essential,67,1226239.83,LOT
NSN-6915-516869,Inertial measurement unit,Avionics,SR1-Freedom,Critical,338,2135199.65,EA
NSN-8300-688285,Solar array wing,Power,Artemis-3,Critical,347,1228803.87,SET
NSN-3286-976097,Ground command toolkit,Software,Gateway,Essential,81,2470957.81,LOT
NSN-2083-719371,Connector backshell,EEE,Artemis-3,Routine,33,310911.86,LOT
NSN-3243-308936,Cryo transfer line,GSE,SR1-Freedom,Critical,315,6171073.89,EA
NSN-9095-686448,Li-ion battery module,Power,Moon-Base,Routine,57,197040.95,SET
NSN-5713-537420,Combustion chamber liner,Propulsion,Gateway,Critical,245,7457499.71,EA
NSN-8872-693047,Space-grade DC-DC converter,EEE,Artemis-3,Essential,166,1281387.79,LOT
NSN-5252-270757,RAD-hard FPGA board,Avionics,Moon-Base,Essential,126,893560.06,EA
NSN-6917-539892,Solar array wing,Power,EGS-Ground,Essential,57,1597420.47,EA
NSN-4002-901834,Heat-pipe radiator panel,Thermal,Artemis-3,Critical,205,2036270.15,EA
NSN-9755-708222,Cryo valve assembly,Propulsion,Artemis-3,Essential,48,932629.54,SET
NSN-6575-270948,Flight software license,Software,EGS-Ground,Critical,199,4600886.65,LOT
NSN-7837-582860,Combustion chamber liner,Propulsion,Artemis-3,Routine,8,233711.08,EA
NSN-8240-726680,Titanium thrust bracket,Structures,SR1-Freedom,Essential,89,1861188.87,EA
NSN-3108-998435,Ablative TPS tile,Thermal,Moon-Base,Routine,15,735833.03,SET
NSN-2273-119719,Turbopump impeller,Propulsion,SR1-Freedom,Routine,19,594800.7,LOT
NSN-8685-224698,RAD-hard FPGA board,Avionics,SR1-Freedom,Routine,26,565923.75,EA
NSN-4277-293757,Heat-pipe radiator panel,Thermal,Artemis-3,Routine,16,711596.01,EA
NSN-3630-996677,Space-grade DC-DC converter,EEE,SR1-Freedom,Essential,174,2048993.32,EA
NSN-4138-395548,Ablative TPS tile,Thermal,Moon-Base,Critical,395,6903614.62,SET
NSN-4033-561023,Rad-hard memory array,EEE,Gateway,Routine,60,318094.8,LOT
NSN-7677-218327,Ablative TPS tile,Thermal,EGS-Ground,Routine,36,101973.16,EA
NSN-1665-186243,Solar array wing,Power,EGS-Ground,Essential,143,1840475.63,SET
NSN-7672-404704,MLI blanket set,Thermal,Artemis-3,Routine,11,134509.89,SET
NSN-7494-559337,Combustion chamber liner,Propulsion,Gateway,Essential,75,1737638.53,EA
NSN-2060-481377,Titanium thrust bracket,Structures,SR1-Freedom,Routine,45,174686.75,SET
NSN-5563-901968,Pad water deluge nozzle,GSE,Gateway,Routine,55,267101.96,LOT
NSN-8938-636256,Ground command toolkit,Software,Gateway,Essential,72,1243259.86,EA
NSN-2631-873637,Flight computer module,Avionics,Moon-Base,Critical,154,2870025.19,EA
NSN-5960-752179,Titanium thrust bracket,Structures,Gateway,Essential,178,504949.1,SET
NSN-9270-374375,Mobile launcher umbilical,GSE,Gateway,Essential,49,2200332.16,EA
